symbol,sentiment_score,bullish_count,bearish_count,neutral_count,mixed_count,total_messages
ABCB,0.2725,3,0,7,0,10
OUST,0.2616,3,0,7,0,10
ACH,0.2457,3,0,7,0,10
ACA,0.1511,2,0,8,0,10
WDC,0.1109,6,1,31,2,40
QURE,0.1105,2,0,9,0,11
ALOT,0.1105,2,0,12,0,14
CAT,0.1041,3,1,14,1,19
UUUU,0.0952,7,2,34,1,44
EOSE,0.0919,1,0,8,1,10
NTLA,0.0861,1,0,9,0,10
MGNI,0.0828,1,0,8,2,11
ARDX,0.0582,4,1,39,0,44
AAT,0.0453,3,2,5,0,10
MRNA,0.0446,6,3,41,2,52
ABNB,0.0444,1,0,16,0,17
AIBZ,0.0433,2,1,15,0,18
BHVN,0.0274,1,1,8,0,10
BTQ,0.0234,1,1,8,0,10
QS,0.0149,10,8,112,0,130
LION,0.0,0,0,9,1,10
BTGO,0.0,0,0,10,0,10
CPNG,0.0,0,0,9,1,10
FRMI,0.0,0,0,10,0,10
PDYN,0.0,0,0,10,1,11
BFLY,-0.0002,7,7,112,4,130
OCUL,-0.009,1,1,8,0,10
HQ,-0.011,8,10,127,5,150
WYFI,-0.0168,1,1,10,0,12
ARQQ,-0.0187,2,3,25,0,30
RXT,-0.0223,3,4,44,1,52
AMGN,-0.0419,1,2,7,0,10
HOOD,-0.0445,2,4,22,0,28
ACMR,-0.0468,0,1,9,0,10
ACON,-0.0507,1,2,14,0,17
ALBT,-0.0673,1,2,7,0,10
ABTC,-0.0706,0,1,9,0,10
SATS,-0.0744,0,1,9,0,10
ABUS,-0.076,1,2,11,0,14
DIS,-0.0875,3,7,24,0,34
ROKU,-0.114,0,2,7,1,10
KRMN,-0.1242,0,2,8,0,10
RVI,-0.1355,0,2,8,0,10
ABG,-0.1601,1,3,7,0,11
FIG,-0.2536,0,3,7,0,10
ACR,-0.3139,0,4,6,0,10
